#,RSO Name,Category,Description,Blueprint URL
1,A Cappella Council,Arts & Music,Umbrella organization governing UChicago's a cappella singing groups.,https://blueprint.uchicago.edu/organization/a-cappella-council
2,Active Minds at the University of Chicago,Health & Wellness,Student-run organization raising mental health awareness and reducing stigma on campus.,https://blueprint.uchicago.edu/organization/active-minds
3,African and Caribbean Students Association,Cultural & International,Celebrates and promotes African and Caribbean cultures through events and community.,https://blueprint.uchicago.edu/organization/acsa
4,AI @ UChicago,Academic & Professional,"Explores artificial intelligence research, applications, and ethics at UChicago.",https://blueprint.uchicago.edu/organization/aiclub
5,Aikido Kokikai,Sports & Recreation,"Practices Kokikai-style Aikido, a Japanese martial art emphasizing relaxed power.",https://blueprint.uchicago.edu/organization/aikido
6,Alexander Hamilton Society,Political & Social,Nonpartisan organization focused on U.S. foreign policy and international security debates.,https://blueprint.uchicago.edu/organization/ahs
7,Algo Group,Academic & Professional,Focuses on algorithmic trading strategies and quantitative finance.,https://blueprint.uchicago.edu/organization/algo-group
8,Alianza de Latinx Medical Advocacy,Health & Wellness,Advocates for health equity and supports Latinx students in medicine.,https://blueprint.uchicago.edu/organization/alianza
9,Allied Scholars for Animal Protection UChicago,Political & Social,"Promotes animal welfare through education, advocacy, and community outreach.",https://blueprint.uchicago.edu/organization/asap
10,Alpha Kappa Psi (Beta Epsilon),Academic & Professional,Co-ed professional business fraternity developing principled business leaders.,https://blueprint.uchicago.edu/organization/akpsi
11,Alpha Phi Omega,Service & Philanthropy,"National service fraternity committed to leadership, friendship, and service.",https://blueprint.uchicago.edu/organization/apo
12,American Constitution Society,Political & Social,Progressive law student organization advancing constitutional rights and values.,https://blueprint.uchicago.edu/organization/acs
13,American Lung Cancer Screening Initiative,Health & Wellness,Student-run initiative promoting early lung cancer screening and awareness.,https://blueprint.uchicago.edu/organization/alcsi
14,American Medical Student Association,Health & Wellness,Advocates for medical students and future physicians through education and activism.,https://blueprint.uchicago.edu/organization/amsa
15,American Red Cross of University of Chicago,Service & Philanthropy,Organizes blood drives and disaster-relief fundraising for the Red Cross.,https://blueprint.uchicago.edu/organization/redcross
16,Amnesty International,Political & Social,Student chapter of the global human rights organization Amnesty International.,https://blueprint.uchicago.edu/organization/amnesty
17,Animal Legal Defense Fund - The University of Chicago Law School,Political & Social,Law school chapter advocating for the legal rights and protection of animals.,https://blueprint.uchicago.edu/organization/aldf
18,Ankara Magic,Arts & Music,Student magic performance and illusion group.,https://blueprint.uchicago.edu/organization/ankara-magic
19,Apsara,Arts & Music,South and Southeast Asian classical and contemporary dance group.,https://blueprint.uchicago.edu/organization/apsara
20,Arab Student Association,Cultural & International,Promotes Arab culture and creates community for Arab students at UChicago.,https://blueprint.uchicago.edu/organization/arab-student-association
21,Archery,Sports & Recreation,Competitive and recreational archery club open to all skill levels.,https://blueprint.uchicago.edu/organization/archery
22,Argentine Tango Club,Arts & Music,Teaches and practices Argentine tango dance for all experience levels.,https://blueprint.uchicago.edu/organization/tango
23,Armenian Students Association,Cultural & International,Celebrates Armenian heritage and builds community among Armenian students.,https://blueprint.uchicago.edu/organization/asa
24,Army Reserve Officer Training Corps,Academic & Professional,Military leadership training program for students pursuing Army commissioning.,https://blueprint.uchicago.edu/organization/rotc-army
25,ArtShould,Arts & Music,Student arts organization promoting creative expression and artistic community.,https://blueprint.uchicago.edu/organization/artshould
26,Asian American InterVarsity,Spiritual & Religious,Christian fellowship for Asian American students.,https://blueprint.uchicago.edu/organization/aaiv
27,Asian Leadership Initiative,Academic & Professional,Develops leadership among Asian and Asian American students at UChicago.,https://blueprint.uchicago.edu/organization/ali
28,Asian Pacific American Medical Students Association,Health & Wellness,Supports Asian Pacific American students in medicine and health professions.,https://blueprint.uchicago.edu/organization/apamsa
29,Asian Policy Forum,Political & Social,Examines policy issues affecting Asia through discussion and research.,https://blueprint.uchicago.edu/organization/asian-policy-forum
30,Association for Women in Mathematics,Academic & Professional,Supports and encourages women and gender minorities in mathematics.,https://blueprint.uchicago.edu/organization/awm
31,Association of Balkan Students,Cultural & International,Connects Balkan students and promotes Balkan culture at UChicago.,https://blueprint.uchicago.edu/organization/balkan
32,Badminton,Sports & Recreation,Recreational and competitive badminton club for all skill levels.,https://blueprint.uchicago.edu/organization/badminton
33,Baha'i Association of the University of Chicago,Spiritual & Religious,Community for Baha'i students exploring spiritual and social teachings.,https://blueprint.uchicago.edu/organization/bahai
34,Ballroom and Latin Dance Association,Arts & Music,Teaches and performs ballroom and Latin dance styles.,https://blueprint.uchicago.edu/organization/ballroom
35,Barbell Club,Sports & Recreation,"Promotes strength training, powerlifting, and Olympic weightlifting.",https://blueprint.uchicago.edu/organization/barbell
36,Bite Culinary Magazine,Arts & Music,Student-run culinary publication exploring food culture and recipes.,https://blueprint.uchicago.edu/organization/bite
37,Black Action in Public Policy Studies,Political & Social,Centers Black perspectives in public policy research and advocacy.,https://blueprint.uchicago.edu/organization/bapps
38,Black Aspiring Legal Leaders,Academic & Professional,Supports Black students pursuing careers in law and legal professions.,https://blueprint.uchicago.edu/organization/ball
39,Black Law Students Association,Academic & Professional,Advocates for Black law students and promotes diversity in the legal field.,https://blueprint.uchicago.edu/organization/blsa
40,Black Men in White Coats at The University of Chicago,Health & Wellness,Supports Black men in medicine and promotes diversity in healthcare.,https://blueprint.uchicago.edu/organization/bmwc
41,Black Student Fellowship,Spiritual & Religious,Christian fellowship providing community and spiritual support for Black students.,https://blueprint.uchicago.edu/organization/bsf
42,BlackGen Capital,Academic & Professional,Investment and finance organization focused on Black student leadership in finance.,https://blueprint.uchicago.edu/organization/blackgen
43,Blacklight Magazine,Arts & Music,Literary and arts magazine centering Black student voices and creativity.,https://blueprint.uchicago.edu/organization/blacklight
44,Blockchain Chicago,Academic & Professional,"Explores blockchain technology, cryptocurrency, and decentralized systems.",https://blueprint.uchicago.edu/organization/blockchain
45,Blue Chips,Academic & Professional,Student-run consulting organization providing pro-bono consulting to nonprofits.,https://blueprint.uchicago.edu/organization/blue-chips
46,Boxing Club,Sports & Recreation,"Teaches boxing technique, fitness, and competitive sparring.",https://blueprint.uchicago.edu/organization/boxing
47,Brazilian Student Association,Cultural & International,Promotes Brazilian culture and connects Brazilian students at UChicago.,https://blueprint.uchicago.edu/organization/bsa
48,Bridge Club,Social & Recreation,Recreational and competitive contract bridge for all experience levels.,https://blueprint.uchicago.edu/organization/bridge
49,Bridge to College,Service & Philanthropy,Helps underserved high school students navigate the college application process.,https://blueprint.uchicago.edu/organization/bridge-to-college
50,Bridgeport Free Clinic,Health & Wellness,Student-run free clinic providing healthcare to underserved Chicago communities.,https://blueprint.uchicago.edu/organization/bridgeport
51,Business Organization for Latino Development,Academic & Professional,Supports Latino students in business and promotes professional development.,https://blueprint.uchicago.edu/organization/bold
52,Cadenza,Arts & Music,Student chamber music ensemble performing classical and contemporary works.,https://blueprint.uchicago.edu/organization/cadenza
